"filename", "language", "YAML", "Swift", "C++", "XML", "JSON", "Dart", "Gradle", "Java Properties", "Markdown", "HTML", "comment", "blank", "total"
"c:\flutter_projects\weather\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 7, 17
"c:\flutter_projects\weather\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\flutter_projects\weather\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 6, 9, 59
"c:\flutter_projects\weather\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\flutter_projects\weather\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 11, 1, 48
"c:\flutter_projects\weather\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\flutter_projects\weather\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\flutter_projects\weather\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\flutter_projects\weather\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 7, 1, 21
"c:\flutter_projects\weather\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 9, 1, 23
"c:\flutter_projects\weather\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 7, 1, 21
"c:\flutter_projects\weather\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\flutter_projects\weather\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 9, 1, 23
"c:\flutter_projects\weather\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\flutter_projects\weather\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"c:\flutter_projects\weather\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\flutter_projects\weather\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\flutter_projects\weather\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 26
"c:\flutter_projects\weather\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\flutter_projects\weather\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\flutter_projects\weather\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\flutter_projects\weather\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\flutter_projects\weather\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\flutter_projects\weather\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"c:\flutter_projects\weather\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 1, 45
"c:\flutter_projects\weather\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\flutter_projects\weather\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\flutter_projects\weather\lib\core\constants\api_parameters.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\flutter_projects\weather\lib\core\constants\app_colors.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\flutter_projects\weather\lib\core\constants\app_opacity.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\flutter_projects\weather\lib\core\constants\app_sizes.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\flutter_projects\weather\lib\core\providers\app_startup.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\flutter_projects\weather\lib\core\theme\app_theme.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\flutter_projects\weather\lib\features\weather\models\forecast.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\flutter_projects\weather\lib\features\weather\models\location.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\flutter_projects\weather\lib\features\weather\models\weather.dart", "Dart", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 8, 86
"c:\flutter_projects\weather\lib\features\weather\models\weather_data.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\flutter_projects\weather\lib\features\weather\repositories\location_repository.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 9, 41
"c:\flutter_projects\weather\lib\features\weather\repositories\weather_repository.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 10, 39
"c:\flutter_projects\weather\lib\features\weather\utils\converters.dart", "Dart", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\flutter_projects\weather\lib\features\weather\utils\formatters.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\flutter_projects\weather\lib\features\weather\view\pages\error_page.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\flutter_projects\weather\lib\features\weather\view\pages\home_page.dart", "Dart", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 5, 72
"c:\flutter_projects\weather\lib\features\weather\view\pages\loading_page.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\flutter_projects\weather\lib\features\weather\view\widgets\current_weather.dart", "Dart", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 4, 58
"c:\flutter_projects\weather\lib\features\weather\view\widgets\daily_forecast.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 4, 50
"c:\flutter_projects\weather\lib\features\weather\view\widgets\daily_forecast_item.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"c:\flutter_projects\weather\lib\features\weather\view\widgets\forecast_container.dart", "Dart", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\flutter_projects\weather\lib\features\weather\view\widgets\hourly_forecast.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"c:\flutter_projects\weather\lib\features\weather\view\widgets\hourly_forecast_item.dart", "Dart", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"c:\flutter_projects\weather\lib\features\weather\view\widgets\weather_details.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 3, 54
"c:\flutter_projects\weather\lib\features\weather\view\widgets\weather_details_item.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 52
"c:\flutter_projects\weather\lib\features\weather\view_model\location_view_model.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\flutter_projects\weather\lib\features\weather\view_model\weather_view_model.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\flutter_projects\weather\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 8, 54
